species,month,pounds_caught,year
sevengill shark,january,4,2000
shortfin mako shark,january,174,2000
sixgill shark,january,0,2000
smooth hammerhead shark,january,0,2000
soupfin shark,january,1765,2000
spiny dogfish shark,january,0,2000
thresher shark,january,18674,2000
unspecified shark,january,8,2000
white shark,january,0,2000
california sheephead,january,4326,2000
silversides,january,0,2000
california skate,january,1779,2000
unspecified skate,january,20,2000
true smelts,january,0,2000
dover sole,january,0,2000
english sole,january,96,2000
fantail sole,january,0,2000
petrale sole,january,6,2000
rex sole,january,0,2000
unspecified sole,january,372,2000
black surfperch,january,0,2000
rainbow surfperch,january,4,2000
rubberlip surfperch,january,0,2000
unspecified surfperch,january,2,2000
swordfish,january,2126,2000
longspine thornyhead,january,1823,2000
shortspine thornyhead,january,3811,2000
thornyheads,january,1520,2000
pacific tomcod,january,0,2000
albacore tuna,january,240,2000
bluefin tuna,january,0,2000
skipjack tuna,january,0,2000
skipjack tuna,january,0,2000
unspecified tuna,january,12,2000
yellowfin tuna,january,0,2000
ocean whitefish,january,869,2000
pacific whiting,january,5,2000
yellowtail,january,203,2000
crustaceans,january,NA,2000
box crab,january,0,2000
claws crab,january,62,2000
king crab,january,0,2000
pelagic red crab,january,0,2000
red rock crab,january,0,2000
rock unspecified crab,january,38916,2000
spider crab,january,2443,2000
yellow rock crab,january,27,2000
unspecified crustacean,january,0,2000
california spiny lobster,january,28391,2000
ridgeback prawn,january,250974,2000
spot prawn,january,1475,2000
mantis shrimp,january,0,2000
ocean (pink) shrimp,january,0,2000
echinoderms,january,NA,2000
unspecified sea cucumber,january,5641,2000
purple sea urchin,january,0,2000
red sea urchin,january,739888,2000
mollusks,january,NA,2000
unspecified clam,january,0,2000
unspecified limpet,january,0,2000
mussel,january,20,2000
unspecified octopus,january,113,2000
sea snail,january,38,2000
moon snails,january,0,2000
jumbo squid,january,3,2000
market squid,january,25142717,2000
kellet's whelk,january,1417,2000
dolphin (fish),january,0,2000
escolar,january,68,2000
oilfish,january,0,2000
california scorpionfish,january,0,2000
shortfin mako shark,january,480,2000
thresher shark,january,0,2000
california sheephead,january,0,2000
swordfish,january,15100,2000
albacore tuna,january,3072,2000
bigeye tuna,january,6674,2000
bluefin tuna,january,1585,2000
yellowfin tuna,january,0,2000
wahoo,january,0,2000
crustaceans,january,NA,2000
california spiny lobster,january,0,2000
ridgeback prawn,january,0,2000
northern anchovy,february,1425102,2000
california barracuda,february,77,2000
giant sea bass,february,63,2000
blacksmith,february,0,2000
pacific bonito,february,38,2000
butterfish (pacific pompano),february,0,2000
cabezon,february,1098,2000
white croaker,february,946,2000
california moray eel,february,0,2000
unspecified fish,february,5,2000
arrowtooth flounder,february,0,2000
starry flounder,february,0,2000
unspecified flounder,february,0,2000
flyingfish,february,0,2000
kelp greenling,february,0,2000
shovelnose guitarfish,february,314,2000
halfmoon,february,0,2000
california halibut,february,15195,2000
unspecified halibut,february,19,2000
jacksmelt,february,0,2000
lingcod,february,0,2000
california lizardfish,february,0,2000
louvar,february,0,2000
pacific mackerel,february,0,2000
jack mackerel,february,1,2000
opah,february,0,2000
opaleye,february,0,2000
queenfish,february,0,2000
pacific electric ray,february,96,2000
bat ray,february,0,2000
pacific ocean perch rockfish,february,0,2000
black-and-yellow rockfish,february,0,2000
black rockfish,february,0,2000
blackgill rockfish,february,38,2000
blue rockfish,february,0,2000
bocaccio rockfish,february,0,2000
brown rockfish,february,0,2000
canary rockfish,february,0,2000
chilipepper rockfish,february,22,2000
copper rockfish,february,0,2000
cowcod rockfish,february,0,2000
gopher rockfish,february,28,2000
grass rockfish,february,37,2000
group bolina rockfish,february,0,2000
group canary/vermili rockfish,february,0,2000
group gopher rockfish,february,0,2000
group nearshore rockfish,february,0,2000
group red rockfish,february,0,2000
group rosefish rockfish,february,0,2000
group shelf rockfish,february,0,2000
group slope rockfish,february,0,2000
group small rockfish,february,0,2000
kelp rockfish,february,0,2000
rosethorn rockfish,february,0,2000
rosy rockfish,february,0,2000
splitnose rockfish,february,4,2000
starry rockfish,february,0,2000
treefish rockfish,february,0,2000
unspecified rockfish,february,139,2000
vermilion rockfish,february,0,2000
widow rockfish,february,0,2000
yellowtail rockfish,february,31,2000
sablefish,february,1096,2000
chinook salmon,february,0,2000
salmon,february,0,2000
sanddab,february,238,2000
pacific sardine,february,966738,2000
california scorpionfish,february,97,2000
white seabass,february,2411,2000
pacific angel shark,february,5894,2000
basking shark,february,0,2000
bigeye thresher shark,february,0,2000
blue shark,february,0,2000
brown smoothhound shark,february,174,2000
dusky shark,february,0,2000
gray smoothhound shark,february,0,2000
horn shark,february,21,2000
leopard shark,february,512,2000
pelagic thresher shark,february,0,2000
sevengill shark,february,0,2000
shortfin mako shark,february,20,2000
sixgill shark,february,0,2000
smooth hammerhead shark,february,0,2000
soupfin shark,february,1890,2000
spiny dogfish shark,february,0,2000
thresher shark,february,2903,2000
unspecified shark,february,45,2000
white shark,february,0,2000
california sheephead,february,1010,2000
silversides,february,0,2000
california skate,february,0,2000
unspecified skate,february,0,2000
true smelts,february,0,2000
dover sole,february,0,2000
english sole,february,20,2000
fantail sole,february,0,2000
petrale sole,february,369,2000
rex sole,february,0,2000
unspecified sole,february,620,2000
black surfperch,february,0,2000
rainbow surfperch,february,0,2000
rubberlip surfperch,february,2,2000
unspecified surfperch,february,5,2000
swordfish,february,0,2000
longspine thornyhead,february,479,2000
shortspine thornyhead,february,2807,2000
thornyheads,february,250,2000
pacific tomcod,february,0,2000
albacore tuna,february,0,2000
bluefin tuna,february,0,2000
skipjack tuna,february,0,2000
skipjack tuna,february,0,2000
unspecified tuna,february,0,2000
yellowfin tuna,february,0,2000
ocean whitefish,february,81,2000
pacific whiting,february,0,2000
yellowtail,february,34,2000
crustaceans,february,NA,2000
box crab,february,19,2000
claws crab,february,20,2000
king crab,february,0,2000
pelagic red crab,february,0,2000
red rock crab,february,0,2000
rock unspecified crab,february,41080,2000
spider crab,february,2349,2000
yellow rock crab,february,0,2000
unspecified crustacean,february,0,2000
california spiny lobster,february,25224,2000
ridgeback prawn,february,130744,2000
spot prawn,february,18966,2000
mantis shrimp,february,0,2000
ocean (pink) shrimp,february,0,2000
echinoderms,february,NA,2000
unspecified sea cucumber,february,6434,2000
purple sea urchin,february,141,2000
red sea urchin,february,194690,2000
mollusks,february,NA,2000
unspecified clam,february,0,2000
unspecified limpet,february,0,2000
mussel,february,250,2000
unspecified octopus,february,76,2000
sea snail,february,0,2000
moon snails,february,0,2000
jumbo squid,february,0,2000
market squid,february,14809871,2000
kellet's whelk,february,1186,2000
dolphin (fish),february,0,2000
escolar,february,65,2000
oilfish,february,0,2000
california scorpionfish,february,0,2000
shortfin mako shark,february,0,2000
thresher shark,february,0,2000
california sheephead,february,0,2000
swordfish,february,10227,2000
albacore tuna,february,253,2000
bigeye tuna,february,2865,2000
bluefin tuna,february,256,2000
yellowfin tuna,february,0,2000
wahoo,february,0,2000
crustaceans,february,NA,2000
california spiny lobster,february,0,2000
ridgeback prawn,february,0,2000
northern anchovy,march,207906,2000
california barracuda,march,33,2000
giant sea bass,march,129,2000
blacksmith,march,0,2000
pacific bonito,march,0,2000
butterfish (pacific pompano),march,53,2000
cabezon,march,2616,2000
white croaker,march,464,2000
california moray eel,march,0,2000
unspecified fish,march,5,2000
arrowtooth flounder,march,0,2000
starry flounder,march,0,2000
unspecified flounder,march,0,2000
flyingfish,march,0,2000
kelp greenling,march,0,2000
shovelnose guitarfish,march,1841,2000
halfmoon,march,32,2000
california halibut,march,22806,2000
unspecified halibut,march,195,2000
jacksmelt,march,0,2000
lingcod,march,84,2000
california lizardfish,march,50,2000
louvar,march,0,2000
pacific mackerel,march,10,2000
jack mackerel,march,0,2000
opah,march,0,2000
opaleye,march,3,2000
queenfish,march,0,2000
pacific electric ray,march,0,2000
bat ray,march,0,2000
pacific ocean perch rockfish,march,0,2000
black-and-yellow rockfish,march,0,2000
black rockfish,march,0,2000
blackgill rockfish,march,2225,2000
blue rockfish,march,19,2000
bocaccio rockfish,march,26,2000
brown rockfish,march,17,2000
canary rockfish,march,7,2000
chilipepper rockfish,march,6,2000
copper rockfish,march,278,2000
cowcod rockfish,march,0,2000
gopher rockfish,march,271,2000
grass rockfish,march,1143,2000
group bolina rockfish,march,2,2000
group canary/vermili rockfish,march,0,2000
group gopher rockfish,march,46,2000
group nearshore rockfish,march,155,2000
group red rockfish,march,775,2000
group rosefish rockfish,march,0,2000
group shelf rockfish,march,87,2000
group slope rockfish,march,0,2000
group small rockfish,march,0,2000
kelp rockfish,march,63,2000
rosethorn rockfish,march,0,2000
rosy rockfish,march,0,2000
splitnose rockfish,march,159,2000
starry rockfish,march,14,2000
treefish rockfish,march,123,2000
unspecified rockfish,march,1301,2000
vermilion rockfish,march,30,2000
widow rockfish,march,1,2000
yellowtail rockfish,march,0,2000
sablefish,march,2737,2000
chinook salmon,march,0,2000
salmon,march,0,2000
sanddab,march,193,2000
pacific sardine,march,55708,2000
california scorpionfish,march,1931,2000
white seabass,march,1973,2000
pacific angel shark,march,3243,2000
basking shark,march,0,2000
bigeye thresher shark,march,0,2000
blue shark,march,0,2000
brown smoothhound shark,march,431,2000
dusky shark,march,371,2000
gray smoothhound shark,march,0,2000
horn shark,march,0,2000
leopard shark,march,574,2000
pelagic thresher shark,march,0,2000
sevengill shark,march,7,2000
shortfin mako shark,march,15,2000
sixgill shark,march,0,2000
smooth hammerhead shark,march,0,2000
soupfin shark,march,823,2000
spiny dogfish shark,march,6,2000
thresher shark,march,86,2000
unspecified shark,march,78,2000
white shark,march,0,2000
california sheephead,march,4750,2000
silversides,march,0,2000
california skate,march,0,2000
unspecified skate,march,113,2000
true smelts,march,0,2000
dover sole,march,544,2000
english sole,march,62,2000
fantail sole,march,0,2000
petrale sole,march,82,2000
rex sole,march,5,2000
unspecified sole,march,1206,2000
black surfperch,march,0,2000
rainbow surfperch,march,0,2000
rubberlip surfperch,march,0,2000
unspecified surfperch,march,44,2000
swordfish,march,0,2000
longspine thornyhead,march,1666,2000
shortspine thornyhead,march,6480,2000
thornyheads,march,1096,2000
pacific tomcod,march,0,2000
albacore tuna,march,0,2000
bluefin tuna,march,0,2000
skipjack tuna,march,0,2000
skipjack tuna,march,0,2000
unspecified tuna,march,0,2000
yellowfin tuna,march,0,2000
ocean whitefish,march,886,2000
pacific whiting,march,20,2000
yellowtail,march,0,2000
crustaceans,march,NA,2000
box crab,march,5,2000
claws crab,march,40,2000
king crab,march,27,2000
pelagic red crab,march,0,2000
red rock crab,march,0,2000
rock unspecified crab,march,61751,2000
spider crab,march,2466,2000
yellow rock crab,march,120,2000
unspecified crustacean,march,0,2000
california spiny lobster,march,16235,2000
ridgeback prawn,march,155996,2000
spot prawn,march,12853,2000
mantis shrimp,march,0,2000
ocean (pink) shrimp,march,0,2000
echinoderms,march,NA,2000
unspecified sea cucumber,march,61977,2000
purple sea urchin,march,0,2000
red sea urchin,march,449937,2000
mollusks,march,NA,2000
unspecified clam,march,0,2000
unspecified limpet,march,98,2000
mussel,march,0,2000
unspecified octopus,march,21,2000
sea snail,march,0,2000
moon snails,march,0,2000
jumbo squid,march,0,2000
market squid,march,3272556,2000
kellet's whelk,march,2353,2000
dolphin (fish),march,0,2000
escolar,march,0,2000
oilfish,march,0,2000
california scorpionfish,march,0,2000
shortfin mako shark,march,1289,2000
thresher shark,march,0,2000
california sheephead,march,0,2000
swordfish,march,10750,2000
albacore tuna,march,0,2000
bigeye tuna,march,1875,2000
bluefin tuna,march,0,2000
yellowfin tuna,march,369,2000
wahoo,march,0,2000
crustaceans,march,NA,2000
california spiny lobster,march,0,2000
ridgeback prawn,march,0,2000
northern anchovy,april,303040,2000
california barracuda,april,1736,2000
giant sea bass,april,71,2000
blacksmith,april,0,2000
pacific bonito,april,0,2000
butterfish (pacific pompano),april,27,2000
cabezon,april,2835,2000
white croaker,april,253,2000
california moray eel,april,0,2000
unspecified fish,april,14,2000
arrowtooth flounder,april,5,2000
starry flounder,april,0,2000
unspecified flounder,april,6,2000
flyingfish,april,0,2000
kelp greenling,april,0,2000
shovelnose guitarfish,april,1726,2000
halfmoon,april,231,2000
california halibut,april,20469,2000
unspecified halibut,april,50,2000
jacksmelt,april,0,2000
lingcod,april,0,2000
california lizardfish,april,106,2000
louvar,april,0,2000
pacific mackerel,april,7,2000
jack mackerel,april,0,2000
opah,april,0,2000
opaleye,april,0,2000
queenfish,april,0,2000
pacific electric ray,april,0,2000
bat ray,april,0,2000
pacific ocean perch rockfish,april,0,2000
black-and-yellow rockfish,april,4,2000
black rockfish,april,0,2000
blackgill rockfish,april,213,2000
blue rockfish,april,8,2000
bocaccio rockfish,april,13,2000
brown rockfish,april,51,2000
canary rockfish,april,0,2000
chilipepper rockfish,april,4,2000
copper rockfish,april,33,2000
cowcod rockfish,april,35,2000
gopher rockfish,april,476,2000
grass rockfish,april,2045,2000
group bolina rockfish,april,0,2000
group canary/vermili rockfish,april,0,2000
group gopher rockfish,april,19,2000
group nearshore rockfish,april,0,2000
group red rockfish,april,1148,2000
group rosefish rockfish,april,0,2000
group shelf rockfish,april,0,2000
group slope rockfish,april,0,2000
group small rockfish,april,7,2000
kelp rockfish,april,61,2000
rosethorn rockfish,april,0,2000
rosy rockfish,april,0,2000
splitnose rockfish,april,120,2000
starry rockfish,april,19,2000
treefish rockfish,april,169,2000
unspecified rockfish,april,1572,2000
vermilion rockfish,april,27,2000
widow rockfish,april,0,2000
yellowtail rockfish,april,0,2000
sablefish,april,4373,2000
chinook salmon,april,0,2000
salmon,april,0,2000
sanddab,april,403,2000
pacific sardine,april,300734,2000
california scorpionfish,april,498,2000
white seabass,april,90,2000
pacific angel shark,april,1786,2000
basking shark,april,0,2000
bigeye thresher shark,april,0,2000
blue shark,april,73,2000
brown smoothhound shark,april,111,2000
dusky shark,april,0,2000
gray smoothhound shark,april,0,2000
horn shark,april,0,2000
leopard shark,april,701,2000
pelagic thresher shark,april,0,2000
sevengill shark,april,0,2000
shortfin mako shark,april,182,2000
sixgill shark,april,0,2000
smooth hammerhead shark,april,0,2000
soupfin shark,april,1427,2000
spiny dogfish shark,april,21,2000
thresher shark,april,393,2000
unspecified shark,april,18,2000
white shark,april,0,2000
california sheephead,april,5775,2000
silversides,april,0,2000
california skate,april,0,2000
unspecified skate,april,698,2000
true smelts,april,0,2000
dover sole,april,97,2000
english sole,april,167,2000
fantail sole,april,65,2000
petrale sole,april,259,2000
rex sole,april,0,2000
unspecified sole,april,1610,2000
black surfperch,april,173,2000
rainbow surfperch,april,1,2000
rubberlip surfperch,april,1,2000
unspecified surfperch,april,44,2000
swordfish,april,0,2000
longspine thornyhead,april,3566,2000
shortspine thornyhead,april,2111,2000
thornyheads,april,2278,2000
pacific tomcod,april,0,2000
albacore tuna,april,0,2000
bluefin tuna,april,0,2000
skipjack tuna,april,0,2000
skipjack tuna,april,0,2000
unspecified tuna,april,0,2000
yellowfin tuna,april,0,2000
ocean whitefish,april,778,2000
pacific whiting,april,0,2000
yellowtail,april,35,2000
crustaceans,april,NA,2000
box crab,april,32,2000
claws crab,april,111,2000
king crab,april,213,2000
pelagic red crab,april,0,2000
red rock crab,april,0,2000
rock unspecified crab,april,53411,2000
spider crab,april,591,2000
yellow rock crab,april,70,2000
unspecified crustacean,april,33,2000
california spiny lobster,april,0,2000
ridgeback prawn,april,173895,2000
spot prawn,april,7353,2000
mantis shrimp,april,0,2000
ocean (pink) shrimp,april,1299,2000
echinoderms,april,NA,2000
unspecified sea cucumber,april,67360,2000
purple sea urchin,april,1,2000
red sea urchin,april,367268,2000
mollusks,april,NA,2000
unspecified clam,april,0,2000
unspecified limpet,april,0,2000
mussel,april,0,2000
unspecified octopus,april,31,2000
sea snail,april,0,2000
moon snails,april,0,2000
jumbo squid,april,0,2000
market squid,april,7585263,2000
kellet's whelk,april,1811,2000
dolphin (fish),april,0,2000
escolar,april,0,2000
oilfish,april,0,2000
california scorpionfish,april,0,2000
shortfin mako shark,april,0,2000
thresher shark,april,0,2000
california sheephead,april,0,2000
swordfish,april,0,2000
albacore tuna,april,0,2000
bigeye tuna,april,0,2000
bluefin tuna,april,0,2000
yellowfin tuna,april,0,2000
wahoo,april,0,2000
crustaceans,april,NA,2000
california spiny lobster,april,0,2000
ridgeback prawn,april,0,2000
northern anchovy,may,714516,2000
california barracuda,may,2521,2000
giant sea bass,may,351,2000
blacksmith,may,0,2000
pacific bonito,may,0,2000
butterfish (pacific pompano),may,55,2000
cabezon,may,4955,2000
white croaker,may,1606,2000
california moray eel,may,0,2000
unspecified fish,may,11,2000
arrowtooth flounder,may,0,2000
starry flounder,may,0,2000
unspecified flounder,may,0,2000
flyingfish,may,0,2000
kelp greenling,may,4,2000
shovelnose guitarfish,may,445,2000
halfmoon,may,44,2000
california halibut,may,12895,2000
unspecified halibut,may,319,2000
jacksmelt,may,0,2000
lingcod,may,488,2000
california lizardfish,may,234,2000
louvar,may,0,2000
pacific mackerel,may,0,2000
jack mackerel,may,0,2000
opah,may,0,2000
opaleye,may,0,2000
queenfish,may,2,2000
pacific electric ray,may,0,2000
bat ray,may,0,2000
pacific ocean perch rockfish,may,0,2000
black-and-yellow rockfish,may,0,2000
black rockfish,may,489,2000
blackgill rockfish,may,1554,2000
blue rockfish,may,270,2000
bocaccio rockfish,may,58,2000
brown rockfish,may,76,2000
canary rockfish,may,662,2000
chilipepper rockfish,may,0,2000
copper rockfish,may,709,2000
cowcod rockfish,may,26,2000
gopher rockfish,may,655,2000
grass rockfish,may,2304,2000
group bolina rockfish,may,29,2000
group canary/vermili rockfish,may,0,2000
group gopher rockfish,may,73,2000
group nearshore rockfish,may,0,2000
group red rockfish,may,879,2000
group rosefish rockfish,may,0,2000
group shelf rockfish,may,28,2000
group slope rockfish,may,0,2000
group small rockfish,may,14,2000
kelp rockfish,may,42,2000
rosethorn rockfish,may,0,2000
rosy rockfish,may,0,2000
splitnose rockfish,may,30,2000
starry rockfish,may,10,2000
treefish rockfish,may,214,2000
unspecified rockfish,may,1369,2000
vermilion rockfish,may,28,2000
widow rockfish,may,8,2000
yellowtail rockfish,may,0,2000
sablefish,may,1630,2000
chinook salmon,may,220,2000
salmon,may,120,2000
sanddab,may,80,2000
pacific sardine,may,523580,2000
california scorpionfish,may,730,2000
white seabass,may,369,2000
pacific angel shark,may,1309,2000
basking shark,may,76,2000
bigeye thresher shark,may,0,2000
blue shark,may,0,2000
brown smoothhound shark,may,107,2000
dusky shark,may,0,2000
gray smoothhound shark,may,0,2000
horn shark,may,0,2000
leopard shark,may,893,2000
pelagic thresher shark,may,18,2000
sevengill shark,may,7,2000
shortfin mako shark,may,0,2000
sixgill shark,may,0,2000
smooth hammerhead shark,may,0,2000
soupfin shark,may,631,2000
spiny dogfish shark,may,47,2000
thresher shark,may,2692,2000
unspecified shark,may,0,2000
white shark,may,0,2000
california sheephead,may,3357,2000
silversides,may,0,2000
california skate,may,0,2000
unspecified skate,may,95,2000
true smelts,may,0,2000
dover sole,may,130,2000
english sole,may,116,2000
fantail sole,may,164,2000
petrale sole,may,76,2000
rex sole,may,0,2000
unspecified sole,may,809,2000
black surfperch,may,0,2000
rainbow surfperch,may,0,2000
rubberlip surfperch,may,0,2000
unspecified surfperch,may,0,2000
swordfish,may,0,2000
longspine thornyhead,may,5115,2000
shortspine thornyhead,may,6945,2000
thornyheads,may,839,2000
pacific tomcod,may,0,2000
albacore tuna,may,0,2000
bluefin tuna,may,0,2000
skipjack tuna,may,0,2000
skipjack tuna,may,0,2000
unspecified tuna,may,0,2000
yellowfin tuna,may,0,2000
ocean whitefish,may,363,2000
pacific whiting,may,0,2000
yellowtail,may,903,2000
crustaceans,may,NA,2000
box crab,may,37,2000
claws crab,may,92,2000
king crab,may,154,2000
pelagic red crab,may,0,2000
red rock crab,may,0,2000
rock unspecified crab,may,52238,2000
spider crab,may,1092,2000
yellow rock crab,may,0,2000
unspecified crustacean,may,0,2000
california spiny lobster,may,0,2000
ridgeback prawn,may,151542,2000
spot prawn,may,14065,2000
mantis shrimp,may,0,2000
ocean (pink) shrimp,may,0,2000
echinoderms,may,NA,2000
unspecified sea cucumber,may,62522,2000
purple sea urchin,may,0,2000
red sea urchin,may,174820,2000
mollusks,may,NA,2000
unspecified clam,may,0,2000
unspecified limpet,may,4,2000
mussel,may,0,2000
unspecified octopus,may,26,2000
sea snail,may,0,2000
moon snails,may,0,2000
jumbo squid,may,0,2000
market squid,may,5147890,2000
kellet's whelk,may,1640,2000
dolphin (fish),may,897,2000
escolar,may,338,2000
oilfish,may,0,2000
california scorpionfish,may,0,2000
shortfin mako shark,may,15,2000
thresher shark,may,0,2000
california sheephead,may,0,2000
swordfish,may,6813,2000
albacore tuna,may,145,2000
bigeye tuna,may,3296,2000
bluefin tuna,may,0,2000
yellowfin tuna,may,29,2000
wahoo,may,0,2000
crustaceans,may,NA,2000
california spiny lobster,may,0,2000
ridgeback prawn,may,0,2000
northern anchovy,june,1041818,2000
california barracuda,june,3047,2000
giant sea bass,june,537,2000
blacksmith,june,0,2000
pacific bonito,june,0,2000
butterfish (pacific pompano),june,0,2000
cabezon,june,6001,2000
white croaker,june,443,2000
california moray eel,june,0,2000
unspecified fish,june,7,2000
arrowtooth flounder,june,0,2000
starry flounder,june,0,2000
unspecified flounder,june,0,2000
flyingfish,june,0,2000
kelp greenling,june,0,2000
shovelnose guitarfish,june,135,2000
halfmoon,june,187,2000
california halibut,june,31321,2000
unspecified halibut,june,231,2000
jacksmelt,june,0,2000
lingcod,june,237,2000
california lizardfish,june,0,2000
louvar,june,22,2000
pacific mackerel,june,283330,2000
jack mackerel,june,0,2000
opah,june,0,2000
opaleye,june,0,2000
queenfish,june,0,2000
pacific electric ray,june,0,2000
bat ray,june,0,2000
pacific ocean perch rockfish,june,63,2000
black-and-yellow rockfish,june,0,2000
black rockfish,june,0,2000
blackgill rockfish,june,995,2000
blue rockfish,june,5,2000
bocaccio rockfish,june,65,2000
brown rockfish,june,9,2000
canary rockfish,june,0,2000
chilipepper rockfish,june,7,2000
copper rockfish,june,1046,2000
cowcod rockfish,june,29,2000
gopher rockfish,june,1212,2000
grass rockfish,june,3275,2000
group bolina rockfish,june,61,2000
group canary/vermili rockfish,june,0,2000
group gopher rockfish,june,103,2000
group nearshore rockfish,june,0,2000
group red rockfish,june,1434,2000
group rosefish rockfish,june,0,2000
group shelf rockfish,june,66,2000
group slope rockfish,june,5,2000
group small rockfish,june,0,2000
kelp rockfish,june,0,2000
rosethorn rockfish,june,0,2000
rosy rockfish,june,13,2000
splitnose rockfish,june,39,2000
starry rockfish,june,36,2000
treefish rockfish,june,463,2000
unspecified rockfish,june,2284,2000
vermilion rockfish,june,85,2000
widow rockfish,june,10,2000
yellowtail rockfish,june,0,2000
sablefish,june,3253,2000
chinook salmon,june,0,2000
salmon,june,0,2000
sanddab,june,10,2000
pacific sardine,june,685822,2000
california scorpionfish,june,94,2000
white seabass,june,24713,2000
pacific angel shark,june,2157,2000
basking shark,june,0,2000
bigeye thresher shark,june,358,2000
blue shark,june,0,2000
brown smoothhound shark,june,151,2000
dusky shark,june,0,2000
gray smoothhound shark,june,0,2000
horn shark,june,0,2000
leopard shark,june,520,2000
pelagic thresher shark,june,0,2000
sevengill shark,june,0,2000
shortfin mako shark,june,621,2000
sixgill shark,june,0,2000
smooth hammerhead shark,june,50,2000
soupfin shark,june,3236,2000
spiny dogfish shark,june,0,2000
thresher shark,june,5839,2000
unspecified shark,june,7,2000
white shark,june,88,2000
california sheephead,june,7696,2000
silversides,june,0,2000
california skate,june,0,2000
unspecified skate,june,0,2000
true smelts,june,9,2000
dover sole,june,12,2000
english sole,june,0,2000
fantail sole,june,0,2000
petrale sole,june,30,2000
rex sole,june,8,2000
unspecified sole,june,292,2000
black surfperch,june,0,2000
rainbow surfperch,june,0,2000
rubberlip surfperch,june,0,2000
unspecified surfperch,june,5,2000
swordfish,june,0,2000
longspine thornyhead,june,4317,2000
shortspine thornyhead,june,4202,2000
thornyheads,june,608,2000
pacific tomcod,june,0,2000
albacore tuna,june,0,2000
bluefin tuna,june,0,2000
skipjack tuna,june,0,2000
skipjack tuna,june,0,2000
unspecified tuna,june,0,2000
yellowfin tuna,june,16,2000
ocean whitefish,june,591,2000
pacific whiting,june,36,2000
yellowtail,june,1306,2000
crustaceans,june,NA,2000
box crab,june,10,2000
claws crab,june,98,2000
king crab,june,197,2000
pelagic red crab,june,0,2000
red rock crab,june,91,2000
rock unspecified crab,june,61279,2000
spider crab,june,1518,2000
yellow rock crab,june,0,2000
unspecified crustacean,june,0,2000
california spiny lobster,june,0,2000
ridgeback prawn,june,1385,2000
spot prawn,june,19152,2000
mantis shrimp,june,0,2000
ocean (pink) shrimp,june,83,2000
echinoderms,june,NA,2000
unspecified sea cucumber,june,183514,2000
purple sea urchin,june,0,2000
red sea urchin,june,239998,2000
mollusks,june,NA,2000
unspecified clam,june,0,2000
unspecified limpet,june,0,2000
mussel,june,0,2000
unspecified octopus,june,35,2000
sea snail,june,7,2000
moon snails,june,0,2000
jumbo squid,june,0,2000
market squid,june,2685152,2000
kellet's whelk,june,1616,2000
dolphin (fish),june,0,2000
escolar,june,0,2000
oilfish,june,0,2000
california scorpionfish,june,0,2000
shortfin mako shark,june,0,2000
thresher shark,june,0,2000
california sheephead,june,0,2000
swordfish,june,0,2000
albacore tuna,june,0,2000
bigeye tuna,june,0,2000
bluefin tuna,june,0,2000
yellowfin tuna,june,0,2000
