SITE,SIDE,SITE_SIDE,MPAGROUP,MPA_STATUS,RESERVE,USE,REGION,YEAR_MPA,MPAAREANM2,MPASHORENM,lat_wgs84,lon_wgs84
ANACAPA_MIDDLE_ISLE,CEN,ANACAPA_MIDDLE_ISLE_CEN,Anacapa Island SMR,SMR,IN,YES,ANA,2003,11.7,3.3,-119.388333,34.009883
ANACAPA_MIDDLE_ISLE,E,ANACAPA_MIDDLE_ISLE_E,Anacapa Island SMR,SMR,IN,YES,ANA,2003,11.7,3.3,-119.388167,34.0085
ANACAPA_MIDDLE_ISLE,W,ANACAPA_MIDDLE_ISLE_W,Anacapa Island SMR,SMR,IN,YES,ANA,2003,11.7,3.3,-119.394467,34.007833
ANACAPA_WEST_ISLE,CEN,ANACAPA_WEST_ISLE_CEN,Anacapa Island SMCA,SMCA,IN,YES,ANA,2003,8.1,2.2,-119.432917,34.016983
ANACAPA_WEST_ISLE,E,ANACAPA_WEST_ISLE_E,Anacapa Island SMCA,SMCA,IN,YES,ANA,2003,8.1,2.2,-119.421833,34.016083
ANACAPA_WEST_ISLE,W,ANACAPA_WEST_ISLE_W,Anacapa Island SMCA,SMCA,IN,YES,ANA,2003,8.1,2.2,-119.438067,34.017417
ARGUELLO,E,ARGUELLO_E,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.5717167,34.5417333
ARGUELLO,W,ARGUELLO_W,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.5691167,34.5405
ARROYO_QUEMADO,W,ARROYO_QUEMADO_W,,,OUT,YES,SCSR,0,0,0,-120.1251833,34.46835
ARROYO_QUEMADO,E,ARROYO_QUEMADO_E,,,OUT,YES,SCSR,0,0,0,-120.1169667,34.46628333
BULLITO,CEN,BULLITO_CEN,,,OUT,YES,SCSR,0,0,0,-120.33205,34.45543333
COJO,E,COJO_E,Pt Conception SMR,reference,OUT,YES,SCSR,0,0,0,-120.4167926,34.4412874
COJO,W,COJO_W,Pt Conception SMR,reference,OUT,YES,SCSR,0,0,0,-120.4233264,34.443204
COUNTY_LINE,CEN,COUNTY_LINE_CEN,Pt Dume SMR,reference,OUT,YES,SCSR,0,0,0,-118.9522167,34.04301667
EL_MATADOR,CEN,EL_MATADOR_CEN,Pt Dume SMCA,SMCA,IN,YES,SCSR,2012,0,0,-118.8701667,34.03328333
HORSESHOE_REEF,E,HORSESHOE_REEF_E,,,OUT,YES,SCSR,0,0,0,-119.5447667,34.38945
HORSESHOE_REEF,W,HORSESHOE_REEF_W,,,OUT,YES,SCSR,0,0,0,-119.5577,34.39173333
IV_REEF,W,IV_REEF_W,Campus Point SMCA,SMCA,IN,YES,SCSR,2012,0,0,-119.8762833,34.40473333
IV_REEF,E,IV_REEF_E,Campus Point SMCA,SMCA,IN,YES,SCSR,2012,0,0,-119.8645167,34.40295
JALAMA,S,JALAMA_S,Vandenberg SMR,reference,OUT,YES,SCSR,0,0,0,-120.4944583,34.4808418
JALAMA,N,JALAMA_N,Vandenberg SMR,reference,OUT,YES,SCSR,0,0,0,-120.5005234,34.48696
LEO_CARRILLO,CEN,LEO_CARRILLO_CEN,Pt Dume SMR,reference,OUT,YES,SCSR,0,0,0,-118.9219833,34.03761667
LITTLE_DUME,CEN,LITTLE_DUME_CEN,Pt Dume SMR,SMR,IN,YES,SCSR,2012,0,0,-118.7891167,34.00491667
NAPLES,CEN,NAPLES_CEN,Naples SMCA,SMCA,OUT,YES,SCSR,2012,0,0,-119.9515,34.42185
NAPLES,E,NAPLES_E,Naples SMCA,SMCA,OUT,YES,SCSR,2012,0,0,-119.951017,34.423333
NAPLES,W,NAPLES_W,Naples SMCA,SMCA,YES,YES,SCSR,2012,0,0,-119.955317,34.424633
POINT_DUME,CEN,POINT_DUME_CEN,Pt Dume SMR,SMR,IN,YES,SCSR,2012,0,0,-118.8056333,33.99853333
PURISIMA,DC,PURISIMA_DC,Vandenberg SMR,SMR,IN,YES,CCSR,2007,0,0,-120.6271384,34.7269485
PURISIMA,UC,PURISIMA_UC,Vandenberg SMR,SMR,IN,YES,CCSR,2007,0,0,-120.6317048,34.7295008
SAL,CEN,SAL_CEN,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.6325667,34.8719167
SAL,FAR_WEST,SAL_FAR_WEST,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.6335667,34.8733167
SAL,N,SAL_N,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.6344833,34.87315
SAL,S,SAL_S,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.6300833,34.871733
SAL,W,SAL_W,Vandenberg SMR,reference,OUT,YES,CCSR,0,0,0,-120.6327,34.8726667
SBI_ARCH_POINT,CEN,SBI_ARCH_POINT_CEN,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.028767,33.485617
SBI_ARCH_POINT,N,SBI_ARCH_POINT_N,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.027217,33.4875
SBI_ARCH_POINT,S,SBI_ARCH_POINT_S,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.029,33.482883
SBI_CAT_CANYON,CEN,SBI_CAT_CANYON_CEN,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.03915,33.4644
SBI_CAT_CANYON,W,SBI_CAT_CANYON_W,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.0440833,33.4644166
SBI_GRAVEYARD_CANYON,CEN,SBI_GRAVEYARD_CANYON_CEN,Santa Barbara Island SMR,SMR,IN,YES,SBI,2003,13.2,1,-119.02685,33.473067
SBI_GRAVEYARD_CANYON,N,SBI_GRAVEYARD_CANYON_N,Santa Barbara Island SMR,SMR,IN,YES,SBI,2003,13.2,1,-119.024767,33.47515
SBI_SOUTHEAST_REEF,CEN,SBI_SOUTHEAST_REEF_CEN,Santa Barbara Island SMR,SMR,IN,YES,SBI,2003,13.2,1,-119.031267,33.462933
SBI_SOUTHEAST_REEF,S,SBI_SOUTHEAST_REEF_S,Santa Barbara Island SMR,SMR,IN,YES,SBI,2003,13.2,1,-119.033183,33.458967
SBI_SOUTHEAST_SEA_LION,CEN,SBI_SOUTHEAST_SEA_LION_CEN,Santa Barbara Island SMR,SMR,IN,YES,SBI,2003,13.2,1,-119.027783,33.4661
SBI_SOUTHEAST_SEA_LION,N,SBI_SOUTHEAST_SEA_LION_N,Santa Barbara Island SMR,SMR,IN,YES,SBI,2003,13.2,1,-119.028117,33.470617
SBI_WEBSTERS_ARCH,CEN,SBI_WEBSTERS_ARCH_CEN,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.0621,33.480033
SBI_WEBSTERS_ARCH,E,SBI_WEBSTERS_ARCH_E,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.05355,33.478767
SBI_WEBSTERS_ARCH,N,SBI_WEBSTERS_ARCH_N,Santa Barbara Island SMR,reference,OUT,YES,SBI,0,13.2,1,-119.049217,33.4903
SCI_CAVERN_POINT,E,SCI_CAVERN_POINT_E,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.566867,34.054283
SCI_CAVERN_POINT,W,SCI_CAVERN_POINT_W,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.5713,34.05275
SCI_COCHE_POINT,E,SCI_COCHE_POINT_E,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.6014,34.044933
SCI_COCHE_POINT,W,SCI_COCHE_POINT_W,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.604,34.04265
SCI_FORNEY,E,SCI_FORNEY_E,Painted Cave SMCA,reference,OUT,YES,SCI,0,10.8,3.8,-119.909667,34.051483
SCI_FORNEY,W,SCI_FORNEY_W,Painted Cave SMCA,reference,OUT,YES,SCI,0,10.8,3.8,-119.9182,34.053883
SCI_GULL_ISLE,E,SCI_GULL_ISLE_E,Gull Island SMR,SMR,IN,YES,SCI,2003,10.3,3.3,-119.823183,33.946467
SCI_GULL_ISLE,W,SCI_GULL_ISLE_W,Gull Island SMR,SMR,IN,YES,SCI,2003,10.3,3.3,-119.82795,33.948167
SCI_HAZARDS,CEN,SCI_HAZARDS_CEN,Painted Cave SMCA,reference,OUT,YES,SCI,0,10.8,3.8,-119.821167,34.056583
SCI_HAZARDS,E,SCI_HAZARDS_E,Painted Cave SMCA,reference,OUT,YES,SCI,0,10.8,3.8,-119.81935,34.054383
SCI_HAZARDS,W,SCI_HAZARDS_W,Painted Cave SMCA,reference,OUT,YES,SCI,0,10.8,3.8,-119.824833,34.0581
SCI_LITTLE_SCORPION,E,SCI_LITTLE_SCORPION_E,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.535733,34.0434
SCI_LITTLE_SCORPION,W,SCI_LITTLE_SCORPION_W,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.54245,34.04415
SCI_PAINTED_CAVE,CEN,SCI_PAINTED_CAVE_CEN,Painted Cave SMCA,SMCA,IN,YES,SCI,2003,10.8,3.8,-119.870983,34.072867
SCI_PAINTED_CAVE,E,SCI_PAINTED_CAVE_E,Painted Cave SMCA,SMCA,IN,YES,SCI,2003,10.8,3.8,-119.85755,34.0719
SCI_PAINTED_CAVE,W,SCI_PAINTED_CAVE_W,Painted Cave SMCA,SMCA,IN,YES,SCI,2003,10.8,3.8,-119.882133,34.074483
SCI_PELICAN,CEN,SCI_PELICAN_CEN,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.69665,34.03065
SCI_PELICAN,E,SCI_PELICAN_E,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.690917,34.02805
SCI_PELICAN,W,SCI_PELICAN_W,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.7023,34.035867
SCI_POTATO_PASTURE,E,SCI_POTATO_PASTURE_E,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.575883,34.050983
SCI_POTATO_PASTURE,W,SCI_POTATO_PASTURE_W,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.582117,34.052167
SCI_SAN_PEDRO_POINT,E,SCI_SAN_PEDRO_POINT_E,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.5253,34.038367
SCI_SAN_PEDRO_POINT,W,SCI_SAN_PEDRO_POINT_W,Scorpion SMR,reference,OUT,YES,SCI,0,8.1,2.2,-119.5316,34.04225
SCI_SCORPION,E,SCI_SCORPION_E,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.546367,34.048467
SCI_SCORPION,W,SCI_SCORPION_W,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.55525,34.0525
SCI_SCORPION_ANCHORAGE,CEN,SCI_SCORPION_ANCHORAGE_CEN,Scorpion SMR,SMR,IN,YES,SCI,2003,8.1,2.2,-119.5514,34.047983
SCI_VALLEY,CEN,SCI_VALLEY_CEN,Gull Island SMR,reference,OUT,YES,SCI,0,10.3,3.3,-119.6384,33.983617
SCI_VALLEY,E,SCI_VALLEY_E,Gull Island SMR,reference,OUT,YES,SCI,0,10.3,3.3,-119.620317,33.98355
SCI_VALLEY,W,SCI_VALLEY_W,Gull Island SMR,reference,OUT,YES,SCI,0,10.3,3.3,-119.6637,33.9817
SCI_YELLOWBANKS,CEN,SCI_YELLOWBANKS_CEN,Gull Island SMR,reference,OUT,YES,SCI,0,10.3,3.3,-119.546983,33.988533
SCI_YELLOWBANKS,E,SCI_YELLOWBANKS_E,Gull Island SMR,reference,OUT,YES,SCI,0,10.3,3.3,-119.5459333,34.0004333
SCI_YELLOWBANKS,W,SCI_YELLOWBANKS_W,Gull Island SMR,reference,OUT,YES,SCI,0,10.3,3.3,-119.564933,33.9893
SMI_CROOK_POINT,E,SMI_CROOK_POINT_E,Harris Point SMR,reference,OUT,YES,SMI,0,16.1,2.9,-120.3305,34.015867
SMI_CROOK_POINT,W,SMI_CROOK_POINT_W,Harris Point SMR,reference,OUT,YES,SMI,0,16.1,2.9,-120.337333,34.01385
SMI_CUYLER,E,SMI_CUYLER_E,Harris Point SMR,reference,OUT,YES,SMI,0,16.1,2.9,-120.346183,34.051717
SMI_CUYLER,W,SMI_CUYLER_W,Harris Point SMR,reference,OUT,YES,SMI,0,16.1,2.9,-120.3526,34.05705
SMI_HARRIS_PT_RESERVE,E,SMI_HARRIS_PT_RESERVE_E,Harris Point SMR,SMR,IN,YES,SMI,2003,16.1,2.9,-120.337383,34.052783
SMI_HARRIS_PT_RESERVE,W,SMI_HARRIS_PT_RESERVE_W,Harris Point SMR,SMR,IN,YES,SMI,2003,16.1,2.9,-120.355983,34.063683
SMI_TYLER_BIGHT,E,SMI_TYLER_BIGHT_E,Harris Point SMR,reference,OUT,YES,SMI,0,16.1,2.9,-120.4067,34.025467
SMI_TYLER_BIGHT,W,SMI_TYLER_BIGHT_W,Harris Point SMR,reference,OUT,YES,SMI,0,16.1,2.9,-120.411744,34.027292
SRI_BEACON_REEF,E,SRI_BEACON_REEF_E,Carrington Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.038,34.037383
SRI_BEACON_REEF,W,SRI_BEACON_REEF_W,Carrington Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.043233,34.040667
SRI_BEE_ROCK,E,SRI_BEE_ROCK_E,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.21055,33.9478
SRI_BEE_ROCK,W,SRI_BEE_ROCK_W,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.2119,33.9539
SRI_CARRINGTON,CEN,SRI_CARRINGTON_CEN,Carrington Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.05953,34.0377818
SRI_CARRINGTON,E,SRI_CARRINGTON_E,Carrington Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.04256,34.0414242
SRI_CARRINGTON,W,SRI_CARRINGTON_W,Carrington Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.0701,34.0316808
SRI_CHICKASAW,E,SRI_CHICKASAW_E,South Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.136367,33.900167
SRI_CHICKASAW,W,SRI_CHICKASAW_W,South Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.13975,33.901117
SRI_CLUSTER_POINT,N,SRI_CLUSTER_POINT_N,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.197417,33.931667
SRI_CLUSTER_POINT,S,SRI_CLUSTER_POINT_S,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.192,33.923833
SRI_FORD_POINT,CEN,SRI_FORD_POINT_CEN,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.2104285,33.9478
SRI_JOHNSONS_LEE_NORTH,E,SRI_JOHNSONS_LEE_NORTH_E,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.099167,33.90295
SRI_JOHNSONS_LEE_NORTH,W,SRI_JOHNSONS_LEE_NORTH_W,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.09915,33.9009
SRI_JOHNSONS_LEE_SOUTH,E,SRI_JOHNSONS_LEE_SOUTH_E,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.100383,33.897433
SRI_JOHNSONS_LEE_SOUTH,W,SRI_JOHNSONS_LEE_SOUTH_W,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.104317,33.895133
SRI_JOLLA_VIEJA,E,SRI_JOLLA_VIEJA_E,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.06745,33.90683333
SRI_JOLLA_VIEJA,W,SRI_JOLLA_VIEJA_W,South Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.0697,33.90635
SRI_MONACOS,E,SRI_MONACOS_E,Carrington Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.0100833,33.98366667
SRI_MONACOS,W,SRI_MONACOS_W,Carrington Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.0117,33.987967
SRI_RODES_REEF,E,SRI_RODES_REEF_E,Carrington Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.1072,34.0325
SRI_RODES_REEF,W,SRI_RODES_REEF_W,Carrington Point SMR,reference,OUT,YES,SRI,0,13.3,5.3,-120.10881,34.0311877
SRI_SOUTH_POINT,E,SRI_SOUTH_POINT_E,South Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.1192,33.891567
SRI_SOUTH_POINT,W,SRI_SOUTH_POINT_W,South Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.124883,33.894167
SRI_TRANCION_CANYON,E,SRI_TRANCION_CANYON_E,South Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.153,33.90725
SRI_TRANCION_CANYON,W,SRI_TRANCION_CANYON_W,South Point SMR,SMR,IN,YES,SRI,2003,13.3,5.3,-120.159117,33.91035
ANACAPA_CAT_ROCK,CEN,ANACAPA_CAT_ROCK_CEN,,,OUT,NO,ANA,0,0,0,-119.4240111,34.0035972
CAT_BLUE_CAVERN,CEN,CAT_BLUE_CAVERN_CEN,CMSCMLR,reference,OUT,NO,CATALINA,0,0,0,-118.4763917,33.4466028
CAT_INTAKE_PIPES,CEN,CAT_INTAKE_PIPES_CEN,CMSCMLR,MLR,IN,NO,CATALINA,1988,0,0,-118.4832639,33.4473861
CAT_PUMPERNICKEL,CEN,CAT_PUMPERNICKEL_CEN,CMSCMLR,MLR,IN,NO,CATALINA,1988,0,0,-118.4794944,33.4478306
SCI_PELICAN,FAR_WEST,SCI_PELICAN_FAR_WEST,Scorpion SMR,reference,OUT,NO,SCI,0,8.1,2.2,-119.6988833,34.0324
SMI_BAY_POINT,CEN,SMI_BAY_POINT_CEN,Harris Point SMR,SMR,IN,NO,SMI,2003,16.1,2.9,-120.30995,34.03765
